target_week,yyyyww,n_coins,n_selected,selected,lam,aicc,n_pooled
453,202237,130,15,0 3 4 5 9 10 14 16 17 19 21 22 25 26 27,9.68114270915558e-07,-25452.716677616627,6068
454,202238,130,15,0 3 4 5 9 10 14 15 17 19 21 22 25 26 27,9.417029249988456e-07,-25719.263359732322,6094
455,202239,131,17,0 2 3 4 5 9 10 14 16 17 18 19 21 22 25 26 27,1.0450687439568317e-06,-25851.701009439308,6119
456,202240,131,16,0 2 3 4 5 9 10 16 17 18 19 21 22 25 26 27,1.0747441914874539e-06,-26159.09718693672,6175
457,202241,131,15,0 3 4 5 9 10 16 17 18 19 21 22 25 26 27,1.0019235701579584e-06,-26477.98499920253,6229
458,202242,131,16,0 2 3 4 5 9 10 16 17 18 19 21 22 25 26 27,9.334680800594247e-07,-26608.463751961954,6251
459,202243,132,15,0 2 3 4 5 9 10 17 18 19 21 22 25 26 27,8.335766944920803e-07,-26795.081452358696,6272
460,202244,132,15,0 2 3 5 7 9 10 16 17 18 19 22 25 26 27,3.5933739480659946e-06,-26946.440021185375,6293
461,202245,130,15,0 2 3 5 7 9 10 17 18 19 21 22 25 26 27,9.63265288823108e-07,-27551.735450983015,6314
462,202246,129,15,0 2 3 5 7 9 10 14 17 19 21 22 25 26 27,1.0267135737949248e-06,-28058.503806278513,6332
463,202247,129,12,5 9 10 14 17 19 20 21 22 25 26 27,0.000528493811292522,-28404.587436952588,6350
464,202248,131,10,5 9 10 17 19 21 22 25 26 27,0.0004984159124345374,-29126.61895236643,6368
465,202249,132,12,2 3 5 9 10 17 19 21 22 25 26 27,0.00027619128263676513,-29250.78722606506,6388
466,202250,132,13,3 5 6 9 10 13 17 19 21 22 25 26 27,0.000359544870888166,-29389.66668650137,6408
467,202251,131,15,0 2 3 5 9 10 12 15 17 19 21 22 25 26 27,1.4715002200417686e-06,-29494.074569423516,6427
468,202252,130,13,3 5 6 9 10 14 17 19 21 22 25 26 27,0.000283678496815392,-29660.753525108583,6444
469,202301,130,15,2 3 5 7 9 10 12 14 17 19 20 22 25 26 27,6.082521751771639e-06,-29789.952338362495,6461
470,202302,131,14,3 5 9 10 12 14 17 19 20 21 22 25 26 27,0.00031772935601334055,-29928.849573256775,6477
471,202303,131,12,2 5 6 9 10 14 17 19 20 22 25 27,0.0005271946030215343,-29708.43209484422,6493
472,202304,134,16,2 3 4 5 6 7 9 10 14 17 18 19 20 22 25 27,1.3747576215714811e-06,-29759.834338373377,6509
