week,cmkt_own,csmb_own,cmom_own,cmkt,csize,cmom
201732,0.18970864800150544,-0.061789066841724416,0.2557718575232929,0.171,-0.045,0.276
201733,0.0814765983016072,0.07065631441096577,0.19102562235333492,0.024,0.034,0.156
201734,0.07079291370064811,0.1645552209796221,-0.21757438759564135,0.093,0.133,-0.166
201735,0.038967232951731136,0.17363082623337428,-0.09459483726335344,0.042,0.419,-0.119
201736,-0.10564140402462074,0.044562647290653616,0.16665727576938677,-0.103,0.025,0.212
201737,-0.15993162232393734,0.012692906874940735,-0.1007855532723613,-0.16,-0.013,-0.054
201738,0.058800318772469294,0.04165424192840168,-0.10064405316319355,0.059,0.108,-0.059
201739,0.11520618138698355,0.14238071867938856,-0.20651198447389382,0.115,0.126,-0.139
201740,0.00562927199346702,-0.044132970633434764,-0.024229520414923933,0.005,-0.036,-0.024
201741,0.17294781100816128,-0.1533878627643723,0.05435551964568498,0.175,-0.135,0.065
201742,-0.023447771189949528,0.08035657201022259,0.011362079158150363,-0.023,0.011,0.042
201743,-0.022133418582459752,0.04213124266288164,-0.14798411855325294,-0.022,0.028,-0.148
201744,0.1817616596395528,-0.057212462667997954,0.21703888979468022,0.182,-0.134,0.195
201745,0.006112143716671171,0.048448753653301556,-0.1146019301543459,0.009,-0.04,-0.099
201746,0.16040044224103883,0.017813907702220494,-0.02342411664412598,0.169,0.057,-0.038
201747,0.1739232269406182,-0.023705805925558265,-0.09319420488401739,0.172,0.013,-0.157
201748,0.16493258311154438,0.05151783183298056,0.019431899572233034,0.167,0.068,-0.001
201749,0.2638906874075997,0.014436814820435795,0.20646819278711775,0.263,0.022,0.214
201750,0.38543102109216376,-0.007497970668997989,-0.17988508951894328,0.377,0.157,-0.13
201751,-0.025427720502925206,0.1848877828752217,-0.2310621709672188,-0.02,0.141,-0.245
201752,0.07472140576891975,0.7762005784169917,0.36036200047944833,0.148,0.53,0.361
201801,0.34770210431458703,0.9825502478619728,0.4185849036717932,0.342,0.931,0.465
201802,-0.15026809655318832,0.2581919421492941,-0.21178648160274946,-0.15,0.488,-0.252
201803,-0.21418597441805134,-0.013086990126119469,-0.0806270253382412,-0.215,-0.019,-0.095
201804,0.055604170046510665,-0.09873812208268559,-0.09515043113187532,0.058,0.062,-0.034
201805,-0.3403248609443323,-0.021461646374652255,0.05372093032017039,-0.34,0.0,0.052
201806,0.0022243275378474986,-0.05922547603309454,-0.017952777839946095,0.002,0.008,-0.013
201807,0.21049622888899452,-0.018087250158985713,0.008073475884051884,0.21,-0.021,-0.013
201808,-0.10896364642091039,-0.025803733598368114,0.017962582052460423,-0.109,0.069,0.02
