target_week,yyyyww,n_coins,n_selected,selected,lam,aicc,n_pooled
201,201745,390,8,9 10 13 17 21 25 26 27,0.001508801222380093,-19105.86129559038,9509
202,201746,410,11,1 7 9 10 13 14 17 21 25 26 27,0.0009103111651730399,-19928.690438596353,9823
203,201747,423,10,1 7 9 10 13 17 21 25 26 27,0.0010064247966830248,-20439.495123704615,10156
204,201748,442,9,7 9 10 13 14 21 25 26 27,0.0010342555466190202,-21238.756926323,10503
205,201749,464,9,1 7 9 10 13 14 21 25 26,0.0007926581302734668,-21852.794936004444,10871
206,201750,494,11,1 7 9 10 13 14 17 21 25 26 27,0.0012620649450876416,-22314.6584393183,11261
207,201751,527,13,1 6 7 9 10 12 13 14 17 21 24 25 26,0.0007550429551265742,-22361.152715548124,11676
208,201752,526,12,1 7 9 10 13 14 17 18 21 24 25 26,0.0006533569789004044,-22683.428347890076,12111
209,201801,569,6,9 10 17 21 25 26,0.002940147015030476,-18713.672379342916,12561
210,201802,649,13,1 7 9 10 12 13 14 17 19 21 25 26 27,0.0006257891198789555,-16770.319819865814,13057
211,201803,659,12,1 7 9 10 12 13 14 17 19 21 25 26,0.0004541688246841756,-17600.35234771088,13613
212,201804,664,7,7 10 12 17 21 25 26,0.0027722284918129054,-18778.85981862025,14165
213,201805,653,7,7 10 12 17 21 25 26,0.002509127237459236,-19976.035308004128,14714
214,201806,637,10,1 7 10 12 13 17 19 21 25 26,0.0013266582629027283,-21177.693656636213,15226
215,201807,630,7,7 10 12 17 21 25 26,0.0022021479954904928,-22371.60138124929,15748
216,201808,532,7,7 10 12 17 21 25 26,0.0021522549999811115,-23567.564539091,16282
217,201809,546,10,1 7 10 12 17 19 21 25 26 27,0.00146401832876911,-24584.467226284458,16712
218,201810,559,8,7 10 12 17 21 25 26 27,0.0018454239624663903,-25585.79367559094,17156
219,201811,568,8,7 10 12 17 21 25 26 27,0.002017832893886571,-26678.172572766656,17603
220,201812,570,8,7 10 12 17 21 25 26 27,0.002086393574735035,-27860.89906308856,18066
221,201813,588,8,7 10 12 17 21 25 26 27,0.001699587139114786,-29000.156416682115,18529
222,201814,591,8,7 10 12 17 21 25 26 27,0.0018151601510396195,-30187.00503867298,18989
223,201815,599,8,7 10 12 17 21 25 26 27,0.0017164585990711153,-31351.32643395774,19450
224,201816,626,9,7 10 12 17 19 21 25 26 27,0.0013084018895639711,-32436.547032923223,19917
225,201817,640,11,5 7 10 12 17 19 21 24 25 26 27,0.001041225050486749,-33731.03796176531,20396
226,201818,655,10,5 7 10 12 17 19 21 25 26 27,0.0011340925464703036,-34786.62681238235,20884
227,201819,650,12,5 7 10 12 15 17 19 21 24 25 26 27,0.0010333936577688683,-36083.937944230915,21364
